"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:51:18.4028778Z","precommit","lock_acquired","","9077eaaf8f0392fc325eeb42194717ec4fcbc45ac43b37431463c37645af1308","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_ascend950_formal_transaction_prep\scripts\ASCEND950-FORMAL-TRANSACTION-LOCK-4752d78c94c0eff1.lock"
"2","2026-08-13T07:51:47.4416867Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6"
"3","2026-08-13T07:51:47.4679888Z","commit_complete","csv_replace","数据/card-completeness.csv","3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6","commit_index=1"
"4","2026-08-13T07:51:47.4720237Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648"
"5","2026-08-13T07:51:47.4994462Z","commit_complete","csv_replace","数据/components.csv","d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648","commit_index=2"
"6","2026-08-13T07:51:47.5035088Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08"
"7","2026-08-13T07:51:47.5275318Z","commit_complete","csv_replace","数据/condition-sets.csv","445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08","commit_index=3"
"8","2026-08-13T07:51:47.5323032Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4"
"9","2026-08-13T07:51:47.5565042Z","commit_complete","csv_replace","数据/facts.csv","cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4","commit_index=4"
"10","2026-08-13T07:51:47.5607141Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=5c9acf64b111c2fc1fe353d4a27def3b224f91bbf4d3a17cab5a3ec6d705ef66"
"11","2026-08-13T07:51:47.5854659Z","commit_complete","csv_replace","数据/field-requirements.csv","5c9acf64b111c2fc1fe353d4a27def3b224f91bbf4d3a17cab5a3ec6d705ef66","commit_index=5"
"12","2026-08-13T07:51:47.5893914Z","commit_begin","csv_replace","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","registered_before_move;candidate=dd0debe263bea2931acb64e14346e336521d00e8505ccb86b4de1320c43d18eb"
"13","2026-08-13T07:51:47.6139478Z","commit_complete","csv_replace","数据/links.csv","dd0debe263bea2931acb64e14346e336521d00e8505ccb86b4de1320c43d18eb","commit_index=6"
"14","2026-08-13T07:51:47.6176533Z","commit_begin","csv_replace","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","registered_before_move;candidate=c8c0873b297f56bdf02fa97aca775b637108529a8424970a8f3b279c78409745"
"15","2026-08-13T07:51:47.6409709Z","commit_complete","csv_replace","数据/memory-levels.csv","c8c0873b297f56bdf02fa97aca775b637108529a8424970a8f3b279c78409745","commit_index=7"
"16","2026-08-13T07:51:47.6445962Z","commit_begin","csv_replace","数据/precision-paths.csv","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","registered_before_move;candidate=7dc243503f2b0938ca71e33283d2b7195635d5c306b314df61a8f2220beecd1f"
"17","2026-08-13T07:51:47.6657500Z","commit_complete","csv_replace","数据/precision-paths.csv","7dc243503f2b0938ca71e33283d2b7195635d5c306b314df61a8f2220beecd1f","commit_index=8"
"18","2026-08-13T07:51:47.6709440Z","commit_begin","csv_replace","最小参考资料库/fact-assertions.csv","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","registered_before_move;candidate=5139d4a0b9fa0cb2e22b13aad3d4d4fa43fd7fe77f9f35bc3ed4c9e2485db4c3"
"19","2026-08-13T07:51:47.6996088Z","commit_complete","csv_replace","最小参考资料库/fact-assertions.csv","5139d4a0b9fa0cb2e22b13aad3d4d4fa43fd7fe77f9f35bc3ed4c9e2485db4c3","commit_index=9"
"20","2026-08-13T07:51:47.7041151Z","commit_begin","csv_replace","最小参考资料库/requirement-evidence.csv","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","registered_before_move;candidate=e11d052d9900f3092d8d1bd90c3c727687d7a319586d86f6092f6da3ba489959"
"21","2026-08-13T07:51:47.7324552Z","commit_complete","csv_replace","最小参考资料库/requirement-evidence.csv","e11d052d9900f3092d8d1bd90c3c727687d7a319586d86f6092f6da3ba489959","commit_index=10"
"22","2026-08-13T07:51:47.7368222Z","commit_begin","csv_replace","最小参考资料库/search-log.csv","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","registered_before_move;candidate=95b55a16268a7de09f9dbeefb07a4e10397ac061ad8f8a532b2c731b153166bf"
